# FEs,AEDMTO,MFEA,MFEA-II,MFDE,MTGA,AEMTO,MKTDE,OTMTO,BLKT-DE
0,1307.87019673413,1307.76610877197,1307.69201315825,1307.6469923565,1307.87019673413,1307.87019673413,1307.92357817989,1307.87019673413,1307.65395230699
2,1304.53203690112,1302.98845804633,1301.20397710962,1304.05078660725,1304.317,1306.329194,1303.71363341075,1304.097059,1305.11301031658
4,1302.83685450742,1301.17028907213,1300.85266661431,1302.920340122,1302.248,1305.432693,1302.5171018481,1302.784887,1304.29748649514
6,1301.29659519475,1300.80980058511,1300.81883233891,1301.69027533623,1300.93,1304.850541,1301.25412682629,1301.661227,1303.61110636039
8,1300.8090305571,1300.71378587025,1300.76909399255,1300.91054919508,1300.811,1304.357176,1301.01106781214,1301.199997,1303.02489810164
10,1300.75548844058,1300.67010715492,1300.74546615714,1300.84835779485,1300.766,1303.996727,1300.92375227452,1300.972002,1302.31847251266
12,1300.72598166528,1300.64315406478,1300.72611818125,1300.80665766593,1300.72,1303.630737,1300.89053830649,1300.858672,1301.6080347116
14,1300.71428702556,1300.63703519535,1300.71182327531,1300.78822418682,1300.68,1303.315944,1300.88152529759,1300.816349,1301.17055156426
16,1300.69869584816,1300.63140148306,1300.70687498503,1300.77392827469,1300.651,1302.910474,1300.86117101038,1300.793441,1301.01972550343
18,1300.67670101291,1300.62704741272,1300.69598624015,1300.75461790505,1300.639,1302.486304,1300.83391264205,1300.756014,1300.95549782174
20,1300.66083409548,1300.62553011891,1300.679717764,1300.75038995859,1300.619,1302.042045,1300.83050596028,1300.737154,1300.92527563344
22,1300.65112477285,1300.62535265565,1300.66682866027,1300.7466084803,1300.596,1301.726192,1300.79991868647,1300.736429,1300.88992657063
24,1300.63552057053,1300.62514044371,1300.66500153548,1300.73440808929,1300.587,1301.417902,1300.7867342817,1300.722657,1300.86531350027
26,1300.62445510787,1300.62511212401,1300.65834467666,1300.72158683872,1300.578,1301.217943,1300.78086355,1300.715784,1300.85288633767
28,1300.61386066364,1300.62348905074,1300.64898051781,1300.70643200522,1300.564,1301.080012,1300.75963629299,1300.69291,1300.8384494305
30,1300.60615289494,1300.61807909138,1300.64020180557,1300.70061655531,1300.56,1300.991141,1300.75918074385,1300.679802,1300.81628756686
32,1300.60390580473,1300.61266399818,1300.63629755943,1300.70061655531,1300.555,1300.956629,1300.7505067504,1300.678716,1300.80495922927
34,1300.59454399226,1300.61117263379,1300.63607947112,1300.67386930229,1300.553,1300.929174,1300.74660610035,1300.676611,1300.79952831615
36,1300.58855282955,1300.61079975315,1300.62781343414,1300.67231211436,1300.55,1300.905312,1300.74086184796,1300.664354,1300.79952831615
