,KTFSELS_fit,,KTFSwoAll_fit,,KTFSwoMemFunc_fit,,KTFSwoPtsf_fit,,KTFSwoAll_fit,,KTFSwoMemFunc_fit,,KTFSwoPtsf_fit,
,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2
CI_HS,4.80E-10,7.79E-07,7.43E-09,1.02E-05,4.69E-10,6.84E-07,9.16E-09,1.11E-05,win,win,tie,tie,win,win
CI_MS,1.91E-06,2.29E-09,2.20E-05,3.29E-07,2.19E-06,3.27E-09,1.82E-05,2.21E-07,win,win,tie,tie,win,win
CI_LS,20.75448305,3121.132326,20.77394818,2630.624189,20.74603663,2760.093311,20.78769441,2946.512201,tie,lose,tie,tie,tie,tie
PI_HS,227.1462027,4.32E-07,244.570722,2.06E-06,317.7137346,4.82E-07,273.6694767,1.68E-06,tie,win,tie,tie,tie,win
PI_MS,0.000261641,45.40521824,0.000281388,45.60803544,0.00026239,45.22470052,0.00026724,45.01351062,tie,tie,tie,tie,tie,tie
PI_LS,7.49E-05,1.098900966,6.96E-05,0.000307602,3.93E-05,0.705257292,3.40E-05,0.000379014,tie,tie,tie,tie,tie,tie
NI_HS,45.66434474,4.52E-05,45.61348964,3.82E-05,45.96494212,4.81E-05,45.61906413,4.68E-05,tie,tie,tie,tie,tie,tie
NI_MS,0.000372321,0.907439985,0.000376606,1.02442411,1.76E-06,0.910016503,0.001364622,0.878897781,win,tie,lose,tie,win,tie
NI_LS,311.3885299,2739.706583,313.0040327,2834.119496,321.2538323,2954.175777,331.7667832,2936.292968,tie,tie,tie,tie,tie,tie
Benchmark1,601.4357449,601.7910388,601.7632877,601.2926838,600.9879396,601.1558655,601.0184794,601.033118,tie,tie,tie,tie,tie,tie
Benchmark2,700.0000199,700.0000336,700.0000843,700.000115,700.0000338,700.0000307,700.0000843,700.0001028,win,win,win,tie,win,win
Benchmark3,380172.962,331925.3477,470246.2537,460892.9549,419299.4432,280731.536,423967.225,366276.2808,tie,tie,tie,tie,tie,tie
Benchmark4,1300.42595,1300.380357,1300.434599,1300.441019,1300.43175,1300.389673,1300.415751,1300.398449,tie,win,tie,tie,tie,tie
Benchmark5,1525.185461,1526.548699,1528.220805,1526.851555,1527.739849,1526.600601,1528.382862,1527.932627,tie,tie,tie,tie,tie,tie
Benchmark6,310155.5278,203508.6689,302816.0186,182522.8776,223539.1321,144400.0437,328077.8691,191568.9221,tie,tie,tie,tie,tie,tie
Benchmark7,2968.345315,3071.588342,2872.907838,3086.756108,2896.345954,3015.276975,2858.45004,3119.68401,tie,tie,tie,tie,tie,tie
Benchmark8,520.9682619,520.9684571,520.9828238,521.03397,521.0019755,521.013239,520.9873146,520.9516148,tie,tie,tie,tie,tie,tie
Benchmark9,8404.477728,1621.339306,8246.095412,1621.263305,8223.769206,1621.316789,8133.761322,1621.388952,tie,tie,tie,tie,tie,tie
Benchmark10,6324.404151,274026.3993,7529.624289,321073.0997,6157.945743,321590.0195,7482.510135,496838.6491,tie,tie,tie,tie,tie,tie
w/t/l,,,9 | 28 | 1,,1 | 36 | 1,,8 | 30 | 0,,,,,,,
